model_name,error_type,n
all__lr__elasticnet,FN_AD_high_MMSE,2
all__lr__elasticnet,FN_early,1
all__lr__elasticnet,FN_middle,3
all__lr__elasticnet,FP_normal,13
all__lr__elasticnet,correct,52
all__lr__l1,FN_AD_high_MMSE,1
all__lr__l1,FN_early,1
all__lr__l1,FN_middle,2
all__lr__l1,FP_normal,14
all__lr__l1,correct,53
all__lr__l2,FN_AD_high_MMSE,1
all__lr__l2,FN_early,1
all__lr__l2,FN_middle,2
all__lr__l2,FP_normal,12
all__lr__l2,correct,55
all__svc__linear,FN_AD_high_MMSE,1
all__svc__linear,FN_early,1
all__svc__linear,FN_middle,2
all__svc__linear,FP_normal,15
all__svc__linear,correct,52
all__svc__poly2,FN_AD_high_MMSE,1
all__svc__poly2,FN_early,1
all__svc__poly2,FN_middle,2
all__svc__poly2,FP_normal,12
all__svc__poly2,correct,55
all__svc__poly3,FN_AD_high_MMSE,1
all__svc__poly3,FN_early,1
all__svc__poly3,FN_middle,2
all__svc__poly3,FP_normal,10
all__svc__poly3,correct,57
all__svc__rbf,FN_AD_high_MMSE,1
all__svc__rbf,FN_early,1
all__svc__rbf,FN_middle,2
all__svc__rbf,FP_normal,13
all__svc__rbf,correct,54
all__svc__sigmoid,FN_AD_high_MMSE,1
all__svc__sigmoid,FN_early,1
all__svc__sigmoid,FN_late,1
all__svc__sigmoid,FN_middle,2
all__svc__sigmoid,FP_normal,12
all__svc__sigmoid,correct,54
all_plus_interactions__lr__elasticnet,FN_AD_high_MMSE,2
all_plus_interactions__lr__elasticnet,FN_early,1
all_plus_interactions__lr__elasticnet,FN_middle,1
all_plus_interactions__lr__elasticnet,FP_normal,14
all_plus_interactions__lr__elasticnet,correct,53
all_plus_interactions__lr__l1,FN_AD_high_MMSE,1
all_plus_interactions__lr__l1,FN_early,1
all_plus_interactions__lr__l1,FN_middle,2
all_plus_interactions__lr__l1,FP_normal,14
all_plus_interactions__lr__l1,correct,53
all_plus_interactions__lr__l2,FN_AD_high_MMSE,1
all_plus_interactions__lr__l2,FN_early,1
all_plus_interactions__lr__l2,FN_late,1
all_plus_interactions__lr__l2,FN_middle,2
all_plus_interactions__lr__l2,FP_normal,12
all_plus_interactions__lr__l2,correct,54
all_plus_interactions__svc__linear,FN_AD_high_MMSE,1
all_plus_interactions__svc__linear,FN_early,1
all_plus_interactions__svc__linear,FN_middle,1
all_plus_interactions__svc__linear,FP_normal,13
all_plus_interactions__svc__linear,correct,55
all_plus_interactions__svc__poly2,FN_early,1
all_plus_interactions__svc__poly2,FN_middle,2
all_plus_interactions__svc__poly2,FP_normal,12
all_plus_interactions__svc__poly2,correct,56
all_plus_interactions__svc__poly3,FN_early,1
all_plus_interactions__svc__poly3,FN_middle,2
all_plus_interactions__svc__poly3,FP_normal,11
all_plus_interactions__svc__poly3,correct,57
